"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: fileName","Param: j"
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"115,588869","13,112737","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"2237,865988","227,176080","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"19961,616360","1519,584543","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\company_name.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"0,305098","0,015509","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"4,710847","0,107568","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"45,866323","0,116676","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\comp_cast_type.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"0,301818","0,014737","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"4,748195","0,035862","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"46,834619","0,259806","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\info_type.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"15,463989","0,799078","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"309,349998","12,183940","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"3077,719380","141,945472","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\keyword.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"0,293392","0,001790","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"4,665029","0,020514","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"45,660512","0,677345","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\kind_type.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"0,305829","0,017822","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"4,696558","0,019480","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"45,896221","0,967683","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\link_type.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"1,499835","0,011346","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"28,814653","0,389494","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"288,988600","10,074896","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\movie_link.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"0,290316","0,010631","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"4,623252","0,008350","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"45,405727","0,913293","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\role_type.csv,1000
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"3931,084980","1364,352122","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\cast_info.csv,5
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"81262,469620","19074,070683","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\cast_info.csv,100
"benchmark.RandomJumpBenchmark.lineReader","avgt",1,5,"814161,569040","48253,867614","ms/op",C:\Users\lenge\IdeaProjects\INFO-H417-group4\imdb\cast_info.csv,1000
