"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: fileName"
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,084770","0,021963","ms/op",imdb/aka_name.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,083735","0,024762","ms/op",imdb/aka_title.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,087680","0,030690","ms/op",imdb/cast_info.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,073540","0,020772","ms/op",imdb/char_name.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,074640","0,012707","ms/op",imdb/company_name.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,072850","0,011216","ms/op",imdb/company_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,075540","0,016627","ms/op",imdb/complete_cast.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,077150","0,013664","ms/op",imdb/comp_cast_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,083685","0,022513","ms/op",imdb/info_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,075040","0,021368","ms/op",imdb/keyword.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,071300","0,015117","ms/op",imdb/kind_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,062185","0,008587","ms/op",imdb/link_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,076920","0,014254","ms/op",imdb/movie_companies.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,066345","0,013276","ms/op",imdb/movie_info.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,070180","0,014180","ms/op",imdb/movie_info_idx.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,068695","0,016512","ms/op",imdb/movie_keyword.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,066030","0,012498","ms/op",imdb/movie_link.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,072380","0,016191","ms/op",imdb/name.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,064630","0,012798","ms/op",imdb/person_info.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,072370","0,026269","ms/op",imdb/role_type.csv
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,088415","0,022946","ms/op",imdb/schematext.sql
"benchmark.LengthBenchmark.singleCharacterReader","ss",1,20,"0,068640","0,016493","ms/op",imdb/title.csv
