"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: k"
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,683878","0,615437","ms/op",1024,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,027255","1,805216","ms/op",1024,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,245924","2,376580","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,666755","0,060602","ms/op",4096,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,780269","0,081146","ms/op",4096,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,001801","0,618444","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,655829","0,122929","ms/op",16384,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,855491","0,143906","ms/op",16384,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,062119","0,206732","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,723895","0,540234","ms/op",65536,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,832809","0,180279","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,999705","0,129307","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,731798","0,069507","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,920471","0,223742","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,035237","0,084679","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"0,803142","0,276154","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,017053","0,503931","ms/op",262144,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,052278","0,105510","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,553439","0,155366","ms/op",1024,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,849947","1,805755","ms/op",1024,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"1,327471","4,198983","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,530381","0,102222","ms/op",4096,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,619657","0,069094","ms/op",4096,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,885043","1,651811","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,509467","0,102161","ms/op",16384,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,639223","0,068642","ms/op",16384,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,783884","0,521848","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,519798","0,064711","ms/op",65536,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,655652","0,038848","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,793083","0,033720","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,575077","0,117762","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,677046","0,178397","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,782289","0,158122","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,617745","0,272280","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,657620","0,049916","ms/op",262144,3
