"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: k"
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"23337,300960","2569,231284","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"25471,711600","420,415270","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"25393,460460","278,803852","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"23412,678400","4538,305650","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"23492,745600","935,758908","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"25092,862200","178,857505","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"1283,791110","6,863558","ms/op",,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5316,063777","1351,098358","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5450,798920","1767,429975","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5379,423630","797,970044","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5427,947227","1769,494153","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5453,110717","1792,546613","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"5376,465990","737,653874","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"25407,088420","106,845831","ms/op",,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"519,580028","13,457265","ms/op",1024,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"284,638394","29,115162","ms/op",4096,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"166,773043","14,291678","ms/op",16384,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"155,168663","1,527499","ms/op",65536,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"149,676693","21,098151","ms/op",131072,4
"benchmark.RRMerge.rrmerge_MappedReader_BufferedWriter","avgt",1,5,"148,193224","14,391463","ms/op",262144,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"450,232164","28,762795","ms/op",1024,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"265,958429","5,410401","ms/op",4096,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"165,738366","3,142983","ms/op",16384,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"155,316462","2,978453","ms/op",65536,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"154,439009","11,722624","ms/op",131072,4
"benchmark.RRMerge.rrmerge_MappedReader_LineWriter","avgt",1,5,"152,543189","17,723650","ms/op",262144,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"703,651732","27,695818","ms/op",1024,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"301,750012","21,899791","ms/op",4096,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"149,569058","1,042693","ms/op",16384,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"129,648425","2,049548","ms/op",65536,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"118,106468","1,539759","ms/op",131072,4
"benchmark.RRMerge.rrmerge_MappedReader_MappedWriter","avgt",1,5,"115,477581","0,855931","ms/op",262144,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"841,739178","5,316590","ms/op",1024,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"620,243672","5,610893","ms/op",4096,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"563,152817","3,435556","ms/op",16384,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"556,354002","5,114542","ms/op",65536,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"554,210531","6,335485","ms/op",131072,4
"benchmark.RRMerge.rrmerge_MappedReader_singleCharacterWriter","avgt",1,5,"555,039945","4,975422","ms/op",262144,4
