"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: k"
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,399363","0,118398","ms/op",1024,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,368311","0,056714","ms/op",1024,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,757378","0,185326","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,379793","0,089128","ms/op",4096,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,362070","0,082608","ms/op",4096,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,679109","0,110175","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,358678","0,103253","ms/op",16384,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,340888","0,084797","ms/op",16384,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,714074","0,116086","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,377645","0,082659","ms/op",65536,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,326314","0,074305","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,758682","0,047381","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,406813","0,069834","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,361043","0,027256","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,728092","0,123566","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"1,454885","0,044338","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"2,455635","0,135470","ms/op",262144,3
"benchmark.RRMerge.rrmerge_LineReader_BufferedWriter","avgt",1,5,"3,945289","0,243182","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,492609","0,021638","ms/op",,2
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,590293","0,021868","ms/op",,3
"benchmark.RRMerge.rrmerge_LineReader_LineWriter","avgt",1,5,"0,710237","0,062923","ms/op",,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"6,726013","13,139614","ms/op",1024,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"2,296821","6,057104","ms/op",1024,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"2,005124","3,453683","ms/op",1024,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,419945","3,570093","ms/op",4096,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,116386","0,246637","ms/op",4096,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,643904","1,796508","ms/op",4096,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,219066","2,694487","ms/op",16384,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,157742","0,506576","ms/op",16384,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,437906","0,391415","ms/op",16384,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"0,897538","1,058455","ms/op",65536,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,109756","0,827851","ms/op",65536,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,515531","0,395887","ms/op",65536,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,170043","2,251337","ms/op",131072,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,029884","0,358897","ms/op",131072,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,403802","0,542659","ms/op",131072,4
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"0,799581","0,940720","ms/op",262144,2
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,101725","0,338875","ms/op",262144,3
"benchmark.RRMerge.rrmerge_LineReader_MappedWriter","avgt",1,5,"1,414200","0,430264","ms/op",262144,4
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"1,329770","0,046444","ms/op",,2
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"2,343330","0,441263","ms/op",,3
"benchmark.RRMerge.rrmerge_LineReader_singleCharacterWriter","avgt",1,5,"3,557439","0,098170","ms/op",,4
